大分類,中分類,機能名,機能説明,対象ユーザー,対象画面,備考
フォーム機能,採用応募,職務経歴書アップロード,職務経歴書ファイルのアップロード,求職者,採用応募ページ,5MBサイズ制限
フォーム機能,採用応募,志望動機入力,志望動機の任意入力,求職者,採用応募ページ,2000文字制限
フォーム機能,採用応募,ファイル形式チェック,アップロードファイルの形式・サイズ検証,求職者,採用応募ページ,セキュリティ対策
フォーム機能,採用応募,応募完了処理,応募情報の送信・確認メール送信,求職者,採用応募完了ページ,人事部門連携
採用情報,職種管理,職種情報表示,6職種の詳細情報表示,求職者,採用情報ページ,バリスタ・シェフ・パティシエ等
採用情報,職種管理,勤務条件表示,給与・勤務時間・場所等の条件表示,求職者,採用情報ページ,外資系金融機関内勤務
採用情報,職種管理,応募資格表示,各職種の必要スキル・経験の表示,求職者,採用情報ページ,職種別カスタマイズ
採用情報,職種管理,雇用形態説明,正社員・契約社員・パート等の説明,求職者,採用情報ページ,柔軟な働き方対応
メール機能,自動送信,お問い合わせ確認メール,問い合わせ受付の自動確認メール,一般ユーザー,メール,React Emailテンプレート
メール機能,自動送信,採用応募確認メール,応募受付の自動確認メール,求職者,メール,添付ファイル対応
メール機能,自動送信,管理者通知メール,問い合わせ・応募の管理者向け通知,管理者,メール,詳細情報含む
メール機能,通知システム,Slack通知,新規問い合わせ・応募のSlack通知,管理者,Slack,Webhook連携
メール機能,通知システム,エラー通知,システムエラー発生時の通知,管理者,Slack・メール,障害対応
メール機能,メールテンプレート,テンプレート管理,React Emailによるテンプレート管理,開発者,ソースコード,保守性向上
API機能,メール送信API,POST /api/email,フォームデータの受信・メール送信,システム,APIエンドポイント,認証機能付き
API機能,メール送信API,ファイル処理,アップロードファイルの処理・添付,システム,APIエンドポイント,Base64エンコード
API機能,メール送信API,エラーハンドリング,送信失敗時のエラー処理,システム,APIエンドポイント,詳細ログ出力
API機能,外部API連携,microCMS API連携,ニュース記事の取得・表示,システム,サーバー側,キャッシュ機能付き
API機能,外部API連携,Resend API連携,メール送信サービス連携,システム,サーバー側,配信状況追跡可能
API機能,外部API連携,Slack Webhook連携,Slackへの通知送信,システム,サーバー側,非同期処理
SEO・マーケティング,SEO対策,メタデータ生成,各ページの動的メタデータ生成,検索エンジン,HTMLヘッダー,OGP対応
SEO・マーケティング,SEO対策,サイトマップ生成,検索エンジン向けサイトマップ自動生成,検索エンジン,sitemap.xml,多言語対応
SEO・マーケティング,SEO対策,robots.txt設定,クローラー制御設定,検索エンジン,robots.txt,完了ページ除外
SEO・マーケティング,SEO対策,構造化データ,検索結果表示の最適化,検索エンジン,HTMLマークアップ,将来実装予定
SEO・マーケティング,アクセス解析,Google Analytics,サイト訪問者の行動分析,管理者,GA管理画面,GTM経由
SEO・マーケティング,アクセス解析,Google Tag Manager,タグ管理・イベント計測,管理者,GTM管理画面,プライバシー対応
SEO・マーケティング,アクセス解析,コンバージョン計測,問い合わせ・応募の成果計測,管理者,GA管理画面,ROI分析用
セキュリティ,認証・認可,API認証,内部API呼び出しの認証,システム,APIヘッダー,X-API-KEY使用
セキュリティ,認証・認可,環境変数管理,機密情報の安全な管理,管理者,Vercel Dashboard,本番・開発分離
セキュリティ,入力検証,XSS対策,ユーザー入力のサニタイゼーション,システム,全フォーム,html-react-parser使用
セキュリティ,入力検証,ファイルアップロード検証,アップロードファイルの安全性検証,システム,アップロード機能,MIME Type確認
セキュリティ,通信セキュリティ,HTTPS通信,全通信の暗号化,全ユーザー,全画面,SSL証明書自動更新
セキュリティ,通信セキュリティ,CORS設定,適切なオリジン制御,システム,API通信,セキュリティ強化
パフォーマンス,画像最適化,Next.js Image最適化,画像の自動最適化・lazy loading,一般ユーザー,全画面,WebP自動変換
パフォーマンス,画像最適化,レスポンシブ画像,デバイス別最適画像配信,一般ユーザー,全画面,帯域幅節約
パフォーマンス,コード最適化,Tree Shaking,未使用コードの自動除去,システム,ビルド時,バンドルサイズ削減
パフォーマンス,コード最適化,Code Splitting,ページ単位のコード分割,システム,実行時,初期読み込み高速化
パフォーマンス,キャッシュ最適化,Static Generation,静的ページの事前生成,システム,ビルド時,表示速度向上
パフォーマンス,キャッシュ最適化,ISR対応,段階的静的再生成,システム,実行時,コンテンツ更新対応
システム管理,デプロイメント,自動デプロイ,Git push時の自動デプロイ,開発者,Vercel,CI/CD
システム管理,デプロイメント,プレビュー環境,PR作成時のプレビュー環境生成,開発者,Vercel,レビュー効率化
システム管理,監視・ログ,エラー監視,実行時エラーの監視・通知,管理者,Vercel Analytics,障害対応
システム管理,監視・ログ,パフォーマンス監視,Core Web Vitalsの監視,管理者,Vercel Analytics,UX改善
システム管理,バックアップ,ソースコード管理,Gitによるバージョン管理,開発者,GitHub,変更履歴管理
システム管理,バックアップ,コンテンツバックアップ,microCMSのコンテンツバックアップ,管理者,microCMS,データ保護
